taxa_id,W,detected_0.9,detected_0.8,detected_0.7,detected_0.6
OTU1,22,FALSE,FALSE,FALSE,FALSE
OTU2,8,FALSE,FALSE,FALSE,FALSE
OTU15,234,FALSE,TRUE,TRUE,TRUE
OTU22,84,FALSE,FALSE,FALSE,FALSE
OTU53,0,FALSE,FALSE,FALSE,FALSE
OTU69,3,FALSE,FALSE,FALSE,FALSE
OTU76,138,FALSE,FALSE,FALSE,FALSE
OTU87,31,FALSE,FALSE,FALSE,FALSE
OTU99,9,FALSE,FALSE,FALSE,FALSE
OTU111,19,FALSE,FALSE,FALSE,FALSE
OTU114,26,FALSE,FALSE,FALSE,FALSE
OTU119,0,FALSE,FALSE,FALSE,FALSE
OTU127,109,FALSE,FALSE,FALSE,FALSE
OTU133,54,FALSE,FALSE,FALSE,FALSE
OTU134,21,FALSE,FALSE,FALSE,FALSE
OTU141,3,FALSE,FALSE,FALSE,FALSE
OTU144,13,FALSE,FALSE,FALSE,FALSE
OTU147,18,FALSE,FALSE,FALSE,FALSE
OTU150,53,FALSE,FALSE,FALSE,FALSE
OTU154,84,FALSE,FALSE,FALSE,FALSE
OTU158,41,FALSE,FALSE,FALSE,FALSE
OTU163,40,FALSE,FALSE,FALSE,FALSE
OTU166,41,FALSE,FALSE,FALSE,FALSE
OTU167,18,FALSE,FALSE,FALSE,FALSE
OTU170,18,FALSE,FALSE,FALSE,FALSE
OTU174,16,FALSE,FALSE,FALSE,FALSE
OTU179,205,FALSE,FALSE,TRUE,TRUE
OTU185,39,FALSE,FALSE,FALSE,FALSE
OTU194,259,TRUE,TRUE,TRUE,TRUE
OTU197,39,FALSE,FALSE,FALSE,FALSE
OTU198,99,FALSE,FALSE,FALSE,FALSE
OTU199,5,FALSE,FALSE,FALSE,FALSE
OTU207,67,FALSE,FALSE,FALSE,FALSE
OTU211,235,FALSE,TRUE,TRUE,TRUE
OTU220,42,FALSE,FALSE,FALSE,FALSE
OTU233,31,FALSE,FALSE,FALSE,FALSE
OTU251,1,FALSE,FALSE,FALSE,FALSE
OTU267,46,FALSE,FALSE,FALSE,FALSE
OTU278,23,FALSE,FALSE,FALSE,FALSE
OTU283,12,FALSE,FALSE,FALSE,FALSE
OTU367,2,FALSE,FALSE,FALSE,FALSE
OTU457,113,FALSE,FALSE,FALSE,FALSE
OTU478,34,FALSE,FALSE,FALSE,FALSE
OTU480,57,FALSE,FALSE,FALSE,FALSE
OTU491,57,FALSE,FALSE,FALSE,FALSE
OTU495,38,FALSE,FALSE,FALSE,FALSE
OTU497,0,FALSE,FALSE,FALSE,FALSE
OTU506,5,FALSE,FALSE,FALSE,FALSE
OTU520,86,FALSE,FALSE,FALSE,FALSE
OTU526,45,FALSE,FALSE,FALSE,FALSE
OTU536,11,FALSE,FALSE,FALSE,FALSE
OTU540,6,FALSE,FALSE,FALSE,FALSE
OTU546,31,FALSE,FALSE,FALSE,FALSE
OTU557,25,FALSE,FALSE,FALSE,FALSE
OTU562,247,TRUE,TRUE,TRUE,TRUE
OTU576,66,FALSE,FALSE,FALSE,FALSE
OTU582,56,FALSE,FALSE,FALSE,FALSE
OTU586,8,FALSE,FALSE,FALSE,FALSE
OTU588,32,FALSE,FALSE,FALSE,FALSE
OTU593,9,FALSE,FALSE,FALSE,FALSE
OTU605,4,FALSE,FALSE,FALSE,FALSE
OTU608,75,FALSE,FALSE,FALSE,FALSE
OTU610,157,FALSE,FALSE,FALSE,FALSE
OTU611,252,TRUE,TRUE,TRUE,TRUE
OTU615,61,FALSE,FALSE,FALSE,FALSE
OTU616,31,FALSE,FALSE,FALSE,FALSE
OTU625,64,FALSE,FALSE,FALSE,FALSE
OTU629,38,FALSE,FALSE,FALSE,FALSE
OTU638,21,FALSE,FALSE,FALSE,FALSE
OTU661,1,FALSE,FALSE,FALSE,FALSE
OTU773,267,TRUE,TRUE,TRUE,TRUE
OTU804,0,FALSE,FALSE,FALSE,FALSE
OTU806,1,FALSE,FALSE,FALSE,FALSE
OTU807,71,FALSE,FALSE,FALSE,FALSE
OTU820,45,FALSE,FALSE,FALSE,FALSE
OTU823,25,FALSE,FALSE,FALSE,FALSE
OTU825,43,FALSE,FALSE,FALSE,FALSE
OTU830,14,FALSE,FALSE,FALSE,FALSE
OTU846,14,FALSE,FALSE,FALSE,FALSE
OTU854,31,FALSE,FALSE,FALSE,FALSE
OTU855,8,FALSE,FALSE,FALSE,FALSE
OTU859,47,FALSE,FALSE,FALSE,FALSE
OTU860,260,TRUE,TRUE,TRUE,TRUE
OTU861,15,FALSE,FALSE,FALSE,FALSE
OTU870,124,FALSE,FALSE,FALSE,FALSE
OTU876,4,FALSE,FALSE,FALSE,FALSE
OTU896,15,FALSE,FALSE,FALSE,FALSE
OTU915,174,FALSE,FALSE,FALSE,TRUE
OTU919,57,FALSE,FALSE,FALSE,FALSE
OTU922,126,FALSE,FALSE,FALSE,FALSE
OTU924,0,FALSE,FALSE,FALSE,FALSE
OTU929,0,FALSE,FALSE,FALSE,FALSE
OTU944,34,FALSE,FALSE,FALSE,FALSE
OTU965,6,FALSE,FALSE,FALSE,FALSE
OTU978,35,FALSE,FALSE,FALSE,FALSE
OTU987,23,FALSE,FALSE,FALSE,FALSE
OTU985,28,FALSE,FALSE,FALSE,FALSE
OTU988,61,FALSE,FALSE,FALSE,FALSE
OTU1005,1,FALSE,FALSE,FALSE,FALSE
OTU1019,8,FALSE,FALSE,FALSE,FALSE
OTU1021,83,FALSE,FALSE,FALSE,FALSE
OTU1023,59,FALSE,FALSE,FALSE,FALSE
OTU1031,23,FALSE,FALSE,FALSE,FALSE
OTU1034,180,FALSE,FALSE,FALSE,TRUE
OTU1046,1,FALSE,FALSE,FALSE,FALSE
OTU1053,168,FALSE,FALSE,FALSE,TRUE
