"","Genus","mean","median","min","max","prevalence"
"1","Staphylococcus",23.2,3.4,0.1,99.3,100
"2","Bacillus",21.7,1.3,0,99.3,100
"3","Corynebacterium",7.1,1,0,85,93.1
"4","Enterobacter",6.6,0,0,79.7,56.9
"5","Anaerococcus",5.8,0.1,0,76.6,77.6
"6","Pantoea",2.5,0,0,80.2,56.9
"7","Acinetobacter",2.4,0,0,65.2,72.4
"8","Pseudomonas",2.3,0,0,46.8,86.2
"9","Moraxella",2,0,0,21.8,62.1
"10","Salmonella",1.7,0,0,49.7,63.8
"11","Cellulosimicrobium",1.6,0,0,93.2,1.7
"12","Propionibacterium",1.6,0,0,52.1,74.1
"13","Halomonas",1.5,0,0,72.5,50
"14","Arthrobacter",1.3,0,0,56.9,79.3
"15","Paenibacillus",1.3,0.1,0,51.1,100
"16","Kocuria",1.2,0,0,64.5,43.1
"17","Exiguobacterium",1.2,0,0,48.2,46.6
"18","Oceanobacillus",1,0,0,26,77.6
"19","Psychrobacter",0.9,0,0,47.7,39.7
"20","Micrococcus",0.8,0,0,26.3,55.2
"21","Geobacillus",0.7,0,0,8.5,62.1
"22","Brevibacillus",0.7,0,0,16.7,72.4
"23","Streptococcus",0.6,0,0,32.9,34.5
"24","Luteimonas",0.6,0,0,31,8.6
"25","Brachybacterium",0.5,0,0,26.6,39.7
"26","Virgibacillus",0.4,0,0,7.2,56.9
"27","Orientia",0.4,0,0,17.1,51.7
"28","Jeotgalicoccus",0.3,0,0,10.1,67.2
"29","Enterococcus",0.3,0,0,9.9,29.3
"30","Peptoniphilus",0.3,0,0,7.6,39.7
"31","Aeromonas",0.3,0,0,8.6,65.5
"32","Citrobacter",0.3,0,0,13.5,24.1
"33","Brevibacterium",0.2,0,0,3.9,60.3
"34","Bhargavaea",0.2,0,0,14.3,12.1
"35","Clostridium",0.2,0,0,6.6,86.2
"36","Intestinimonas",0.2,0,0,3.9,67.2
"37","Cronobacter",0.2,0,0,4.2,29.3
"38","Streptomyces",0.1,0,0,2.1,44.8
"39","Gulosibacter",0.1,0,0,6.6,6.9
"40","Zimmermannella",0.1,0,0,2.4,12.1
"41","Rothia",0.1,0,0,3.1,25.9
"42","Brooklawnia",0.1,0,0,2.4,34.5
"43","Cruoricaptor",0.1,0,0,4.5,31
"44","Massilibacterium",0.1,0,0,1.3,75.9
"45","Pseudogracilibacillus",0.1,0,0,1.2,24.1
"46","Salinibacillus",0.1,0,0,1.5,36.2
