"","Phylum","mean","median","min","max"
"1","Firmicutes",59.8,75.1,0.8,99.7
"2","Proteobacteria",24.4,8.7,0,96.7
"3","Actinobacteria",15.4,3.5,0.1,96.2
"4","Bacteroidetes",0.2,0,0,4.8
"5",NA,0.1,0,0,4.8
"6","Acidobacteria",0,0,0,0
"7","Caldiserica",0,0,0,0
"8","Candidatus Melainabacteria",0,0,0,0
"9","Chlamydiae",0,0,0,0
"10","Chloroflexi",0,0,0,0.1
"11","Chlorophyta",0,0,0,0.1
"12","Coprothermobacterota ",0,0,0,0
"13","Cyanobacteria",0,0,0,0.1
"14","Deinococcus-Thermus",0,0,0,0
"15","Fibrobacteres",0,0,0,0.7
"16","Gemmatimonadetes",0,0,0,0
"17","Ignavibacteriae ",0,0,0,0
"18","Lentisphaerae",0,0,0,0
"19","Nitrospirae",0,0,0,0.1
"20","Pctinobacteria",0,0,0,0.1
"21","Planctomycetes",0,0,0,0.2
"22","Spirochaetes",0,0,0,0.1
"23","Synergistetes ",0,0,0,0.1
"24","Tenericutes",0,0,0,0.4
"25","Verrucomicrobia",0,0,0,0.1
"26","Viridiplantae",0,0,0,0
